scenario_id,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,mode,contingency_id,contingency_type,element_table,element_index,element_name,description,converged,power_flow_run,pf_status,min_vm_pu,max_vm_pu,max_vuf_percent,max_line_loading_percent,p_grid_mw,unserved_load_mw,critical_unserved_load_mw,n_unserved_buses,non_convergence_violation,service_loss_violation,critical_service_loss_violation,voltage_low_violation,voltage_high_violation,loading_violation,vuf_violation,violation_label,severity_score,state_restoration_passed
high_load,1.25,1.0,1.0,1.0,0.0,0.0,grid_connected,bess_trip,bess_trip,bess_pair,bess_static_setpoint,BESS_static_setpoint,Trip BESS static setpoint,True,True,solved,0.9743660279644448,1.0000457366221878,0.15737412385830954,58.59716720363123,0.08646802131235923,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
high_load,1.25,1.0,1.0,1.0,0.0,0.0,grid_connected,pcc_outage,pcc_outage,ext_grid,0,PCC_slack_grid_connected,Disconnect the PCC/slack equivalent,False,False,no_slack_skip,,,,,,0.08499999999999999,0.03375,5,True,True,True,False,False,False,False,True,1.0,True
high_pv_midday,0.75,1.0,1.0,1.0,1.0,0.0,grid_connected,line_0_out,line_outage,line,0,L0_PCC_to_main,Open line L0_PCC_to_main,False,False,service_loss_skip,,,,,,0.051000000000000004,0.02025,5,False,True,True,False,False,False,False,True,1.0,True
high_pv_midday,0.75,1.0,1.0,1.0,1.0,0.0,grid_connected,line_1_out,line_outage,line,1,L1_main_to_critical,Open line L1_main_to_critical,False,False,service_loss_skip,,,,,,0.039,0.02025,4,False,True,True,False,False,False,False,True,1.0,True
high_pv_midday,0.75,1.0,1.0,1.0,1.0,0.0,grid_connected,line_2_out,line_outage,line,2,L2_main_to_residential,Open line L2_main_to_residential,False,False,service_loss_skip,,,,,,0.012,0.0,1,False,True,False,False,False,False,False,True,0.6,True
high_pv_midday,0.75,1.0,1.0,1.0,1.0,0.0,grid_connected,line_3_out,line_outage,line,3,L3_residential_to_pvA,Open line L3_residential_to_pvA,True,True,solved,0.986698272501957,1.005746635994023,0.25820098930279783,31.399747644448045,0.03939053768524221,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
high_pv_midday,0.75,1.0,1.0,1.0,1.0,0.0,grid_connected,line_6_out,line_outage,line,6,L6_ev_to_remote,Open line L6_ev_to_remote,False,False,service_loss_skip,,,,,,0.00825,0.0,1,False,True,False,False,False,False,False,True,0.41250000000000003,True
high_pv_midday,0.75,1.0,1.0,1.0,1.0,0.0,grid_connected,line_7_out,line_outage,line,7,L7_critical_to_medical,Open line L7_critical_to_medical,False,False,service_loss_skip,,,,,,0.007500000000000001,0.007500000000000001,1,False,True,True,False,False,False,False,True,1.0,True
high_pv_midday,0.75,1.0,1.0,1.0,1.0,0.0,grid_connected,pv_0_trip,pv_trip,asymmetric_sgen,0,PV_single_phase_A,Trip PV PV_single_phase_A,True,True,solved,0.9866982757040476,1.0057466450630572,0.2582009880484727,31.399707831041507,0.03939053694837248,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
high_pv_midday,0.75,1.0,1.0,1.0,1.0,0.0,grid_connected,pv_1_trip,pv_trip,asymmetric_sgen,1,PV_single_phase_C,Trip PV PV_single_phase_C,True,True,solved,0.9864854304406955,1.0052427231663228,0.23368289858890332,31.409641075059668,0.03938781671523485,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
