scenario_id,contingency_id,contingency_type,element_table,element_index,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,converged,min_vm_pu,max_vm_pu,max_vuf_percent,max_line_loading_percent,unserved_load_mw,critical_unserved_load_mw,voltage_low_violation,voltage_high_violation,loading_violation,vuf_violation,non_convergence_violation,service_loss_violation,critical_service_loss_violation,violation_label,severity_score
high_pv_midday,pv_2_trip,pv_trip,asymmetric_sgen,2,0.75,1.0,1.0,1.0,1.0,0.0,True,0.9838469804827833,1.0043685295314635,0.24197298600212389,34.91152483978671,0.0,0.0,False,False,False,False,False,False,False,False,0.0
high_pv_midday,bess_trip,bess_trip,bess_pair,bess_static_setpoint,0.75,1.0,1.0,1.0,1.0,0.0,True,0.9861292539855149,1.0048565356561785,0.24160100092735248,31.426609136207333,0.0,0.0,False,False,False,False,False,False,False,False,0.0
high_pv_midday,pcc_outage,pcc_outage,ext_grid,0,0.75,1.0,1.0,1.0,1.0,0.0,False,,,,,0.051000000000000004,0.02025,False,False,False,False,True,True,True,True,1.0
phase_b_heavy,line_0_out,line_outage,line,0,1.0,0.9,1.45,0.9,0.4,0.0,False,,,,,0.0755,0.02925,False,False,False,False,False,True,True,True,1.0
phase_b_heavy,line_1_out,line_outage,line,1,1.0,0.9,1.45,0.9,0.4,0.0,False,,,,,0.05725,0.02925,False,False,False,False,False,True,True,True,1.0
phase_b_heavy,line_2_out,line_outage,line,2,1.0,0.9,1.45,0.9,0.4,0.0,False,,,,,0.01825,0.0,False,False,False,False,False,True,False,True,0.9125
phase_b_heavy,line_3_out,line_outage,line,3,1.0,0.9,1.45,0.9,0.4,0.0,True,0.9651492314694187,1.0002473010599966,0.49007229911013517,67.07425154449892,0.0,0.0,False,False,False,False,False,False,False,False,0.0
phase_b_heavy,line_6_out,line_outage,line,6,1.0,0.9,1.45,0.9,0.4,0.0,False,,,,,0.011000000000000001,0.0,False,False,False,False,False,True,False,True,0.55
phase_b_heavy,line_7_out,line_outage,line,7,1.0,0.9,1.45,0.9,0.4,0.0,False,,,,,0.011200000000000002,0.011200000000000002,False,False,False,False,False,True,True,True,1.0
phase_b_heavy,pv_0_trip,pv_trip,asymmetric_sgen,0,1.0,0.9,1.45,0.9,0.4,0.0,True,0.965149234752603,1.00024730999529,0.49007229690260967,67.07421516624039,0.0,0.0,False,False,False,False,False,False,False,False,0.0
phase_b_heavy,pv_1_trip,pv_trip,asymmetric_sgen,1,1.0,0.9,1.45,0.9,0.4,0.0,True,0.965064338451309,1.0001461501006983,0.47961950022654565,67.08297534498622,0.0,0.0,False,False,False,False,False,False,False,False,0.0
phase_b_heavy,pv_2_trip,pv_trip,asymmetric_sgen,2,1.0,0.9,1.45,0.9,0.4,0.0,True,0.9636276150154539,1.0001415899479116,0.4970570770543126,68.54786843196845,0.0,0.0,False,False,False,False,False,False,False,False,0.0
