max_vm_diff_pu,max_line_loading_diff_percent,scenario
5.048028661747139e-11,4.031653588754125e-08,base
8.572950127572199e-10,6.416733029368515e-07,morning_low_pv
8.332445844416725e-12,1.0879018574883048e-08,noon_high_pv
3.260552938755268e-10,2.98637949924796e-07,evening_peak_bess_discharge
3.2166957986135003e-10,2.2610251448895724e-07,bess_charging_peak
5.609214204227442e-10,4.0654228428138595e-07,stress_high_load_charging
