scenario,converged,min_vm_a_pu,min_vm_b_pu,min_vm_c_pu,min_vm_all_pu,max_vm_all_pu,max_unbalance_percent,max_loading_a_percent,max_loading_b_percent,max_loading_c_percent,max_loading_percent,p_grid_total_mw,q_grid_total_mvar,voltage_violation,loading_violation,unbalance_violation,any_static_violation
base,True,0.9874980993024552,0.9589880816676595,0.9979047180937145,0.9589880816676595,1.000557880374519,0.6563226106383445,29.34997544919198,45.78626230958448,17.88389008804815,45.78626230958448,0.04192391607805503,0.009319820435130872,False,False,False,False
high_load,True,0.9758399925204354,0.9343542845943431,0.995326031161912,0.9343542845943431,1.0009082939677039,1.0422003255230785,51.33586219783339,74.92422665035038,31.22868319660153,74.92422665035038,0.07114231193516699,0.015051420531446652,True,False,False,True
phase_b_heavy_load,True,1.0013809949742607,0.873539441971794,1.001728121754981,0.873539441971794,1.0157103913589043,2.6373286400296467,25.339556640396804,124.17038122711557,15.468501757291826,124.17038122711557,0.07443738770748426,0.015485924946630108,True,True,True,True
single_phase_pv_a,True,1.0002154036303563,0.9528845965924817,0.9956988000305226,0.9528845965924817,1.0120685357763717,0.88921403839919,13.089668488370219,46.02957033749009,17.922912806443957,46.02957033749009,0.03296013577161498,0.009326918367865897,False,False,False,False
stress_unbalance,True,1.0020601412032843,0.8321909267635734,1.0020681700722982,0.8321909267635734,1.0486550482016537,3.656451537653861,18.071127947586668,155.34473757088108,15.327069451032957,155.34473757088108,0.07669867714433261,0.017561577259520532,True,True,True,True
