scenario,converged,total_load_mw,pv_mw,storage_p_mw,grid_import_mw,min_vm_pu,max_vm_pu,max_line_loading_percent,trafo_loading_percent,voltage_violation,line_violation,trafo_violation,violation_flag
base,True,0.09,0.03,0.0,0.06356385503994261,0.9792343795222824,1.02,33.20686307116071,11.237047654578113,False,False,False,False
morning_low_pv,True,0.0675,0.009,0.0,0.06177645123948878,0.9815607892649001,1.02,30.828887121493313,10.440120365111841,False,False,False,False
noon_high_pv,True,0.07200000000000001,0.06,0.0,0.013701966017483755,1.0087461477722255,1.02,13.485118703584762,4.746423072163066,False,False,False,False
evening_peak_bess_discharge,True,0.12150000000000002,0.0,-0.04,0.08682103817080133,0.970744961497011,1.02,45.51151502729995,15.295607113986815,False,False,False,False
bess_charging_peak,True,0.11250000000000002,0.006,0.05,0.1750136344166731,0.9048595638626207,1.02,84.68565460848495,28.18477185678041,True,False,False,True
stress_high_load_charging,True,0.18,0.0,0.04,0.25796796558840923,0.853761360963811,1.02,126.17710825202342,41.87749942328984,True,True,False,True
