scenario_id,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,mode,description,converged,min_vm_pu,max_vm_pu,min_vm_bus,min_vm_phase,max_vm_bus,max_vm_phase,max_vuf_percent,worst_vuf_bus,max_line_loading_percent,worst_line_idx,p_grid_mw,q_grid_mvar,p_load_mw,q_load_mvar,p_sgen_mw,q_sgen_mvar,p_line_loss_mw,p_balance_residual_mw,p_load_a_mw,q_load_a_mvar,p_sgen_a_mw,q_sgen_a_mvar,p_grid_a_mw,q_grid_a_mvar,p_loss_line_a_mw,p_load_b_mw,q_load_b_mvar,p_sgen_b_mw,q_sgen_b_mvar,p_grid_b_mw,q_grid_b_mvar,p_loss_line_b_mw,p_load_c_mw,q_load_c_mvar,p_sgen_c_mw,q_sgen_c_mvar,p_grid_c_mw,q_grid_c_mvar,p_loss_line_c_mw
base,1.0,1.0,1.0,1.0,0.0,0.0,grid_connected,reference microgrid operating point,True,0.9795967211810783,1.0000358028353677,7,b,0,a,0.12379443921587809,6,46.68011834615757,0,0.06893244130077796,0.013718244551492667,0.068,0.013600000000000001,0.0,0.0,0.0009324417177801181,-4.170021678222974e-10,0.020999999999999998,0.0042,0.0,0.0,0.021238657390979538,0.004204517821434918,0.0002386563748680665,0.026,0.005200000000000001,0.0,0.0,0.026432550338717282,0.005250323986888994,0.0004325522961926545,0.021,0.0042,0.0,0.0,0.021261233571081135,0.004263402743168755,0.0002612330467193971
high_load,1.25,1.0,1.0,1.0,0.0,0.0,grid_connected,uniform high-load condition,True,0.9743660279650418,1.0000457366221833,7,b,0,a,0.15737412384231347,6,58.59716720295517,0,0.08646802131227996,0.01718760240993531,0.085,0.017,0.0,0.0,0.0014680225793884522,-1.2671085003728572e-09,0.026250000000000002,0.0052499999999999995,0.0,0.0,0.026624943225876798,0.005257393625590114,0.00037494002428376005,0.0325,0.0065,0.0,0.0,0.03318213159229778,0.006579755730606194,0.0006821377328086542,0.02625,0.0052499999999999995,0.0,0.0,0.026660946494105383,0.0053504530537390035,0.0004109448222960378
high_pv_midday,0.75,1.0,1.0,1.0,1.0,0.0,grid_connected,low load with high PV generation,True,0.9861292539855192,1.0048565356561765,6,b,5,c,0.24160100092730522,5,31.426609136203226,0,0.03338313439711044,0.010247762501866022,0.051000000000000004,0.0102,0.018000000000000002,0.0,0.0003831345685060844,-1.713956493550571e-10,0.01575,0.00315,0.008,0.0,0.007833449763058555,0.0031471820799800283,8.344964892744247e-05,0.0195,0.0039,0.002,0.0,0.0177118024881066,0.003930793683097883,0.00021180289418713246,0.01575,0.00315,0.008,0.0,0.007837882145945285,0.0031697867387881088,8.788202539150949e-05
phase_b_heavy,1.0,1.0,1.6,1.0,0.0,0.0,grid_connected,B-phase-heavy demand pattern,True,0.9602125648438288,1.000150755644883,7,b,0,a,0.5258838568339038,6,75.82769886642686,0,0.0853120431477554,0.016941183273650705,0.08360000000000001,0.01672,0.0,0.0,0.001712044383241626,-1.2354862382723403e-09,0.020999999999999998,0.0042,0.0,0.0,0.02119256312884632,0.004095482063343014,0.00019256262152183337,0.041600000000000005,0.008320000000000001,0.0,0.0,0.04293583173118421,0.008487594471458044,0.0013358340434056232,0.021,0.0042,0.0,0.0,0.021183648287724868,0.004358106738849647,0.00018364771831416937
evening_peak_bess_discharge,1.3,1.0,1.2,1.0,0.1,0.008,grid_connected,evening peak with small PV and BESS discharge,True,0.9668223912306769,1.0000990981676174,7,b,0,a,0.3425528634838798,6,68.5671560543988,0,0.0869790302338403,0.01923991333323076,0.09516000000000001,0.019032,0.0098,0.0,0.0016190308420448558,-6.082045678722225e-10,0.0273,0.0054600000000000004,0.0034666666666666665,0.0,0.024126154313528395,0.0054031628559832,0.0002928207716458624,0.040560000000000006,0.008112000000000001,0.0028666666666666667,0.0,0.03871292994253194,0.008238911792422919,0.0010195976514862318,0.027300000000000005,0.0054600000000000004,0.0034666666666666665,0.0,0.02413994597777996,0.005597838684824642,0.00030661241891276174
bess_charging,1.0,1.0,1.0,1.0,0.2,-0.008,grid_connected,base load with PV and BESS charging,True,0.9783582471334781,1.0000391276272966,7,b,0,a,0.13569469467210743,6,50.67677668377939,0,0.07348523870678032,0.013738072849622604,0.076,0.013600000000000001,0.0036,0.0,0.0010852393320800887,-6.25299757719272e-10,0.023666666666666666,0.0042,0.0016,0.0,0.02234158857878966,0.004202976369125377,0.0002749203992459867,0.028666666666666667,0.005200000000000001,0.0004,0.0,0.028779137157181844,0.005261189882258977,0.0005124734924136153,0.02366666666666667,0.0042,0.0016,0.0,0.02236451297080882,0.00427390659823825,0.00029784544042048673
stress_unbalance,1.35,1.0,1.6,0.8,0.8,-0.008,grid_connected,"combined high load, B-phase stress, PV, and charging",True,0.9438151241986574,1.0041986531666602,7,b,5,c,0.853825313425206,6,105.74880815001397,0,0.10391592239274228,0.021846460958815844,0.11519,0.021438000000000002,0.0144,0.0,0.0031259234156093326,-1.0228670601492018e-09,0.03101666666666667,0.00567,0.0064,0.0,0.024962714279701002,0.005426908915595953,0.00034604752782260717,0.058826666666666666,0.011232000000000002,0.0016,0.0,0.05989669316202685,0.011686139308033978,0.0026700276516812777,0.02534666666666667,0.004536000000000001,0.0064,0.0,0.01905651495101443,0.004733412735185913,0.0001098482361054479
