scenario_id,mode,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,min_vm_pu,max_vm_pu,max_vuf_percent,max_line_loading_percent,p_grid_mw,q_grid_mvar,p_load_mw,q_load_mvar,p_sgen_mw,p_line_loss_mw,converged,p_load_a_mw,p_load_b_mw,p_load_c_mw,p_sgen_a_mw,p_sgen_b_mw,p_sgen_c_mw
base,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810783,1.0000358028353677,0.12379443921587809,46.68011834615757,0.06893244130077796,0.013718244551492667,0.068,0.013600000000000001,0.0,0.0009324417177801181,True,0.020999999999999998,0.026,0.021,0.0,0.0,0.0
high_load,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.0000457366221833,0.15737412384231347,58.59716720295517,0.08646802131227996,0.01718760240993531,0.085,0.017,0.0,0.0014680225793884522,True,0.026250000000000002,0.0325,0.02625,0.0,0.0,0.0
high_pv_midday,grid_connected,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.24160100092730522,31.426609136203226,0.03338313439711044,0.010247762501866022,0.051000000000000004,0.0102,0.018000000000000002,0.0003831345685060844,True,0.01575,0.0195,0.01575,0.008,0.002,0.008
phase_b_heavy,grid_connected,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.016941183273650705,0.08360000000000001,0.01672,0.0,0.001712044383241626,True,0.020999999999999998,0.041600000000000005,0.021,0.0,0.0,0.0
evening_peak_bess_discharge,grid_connected,1.3,1.0,1.2,1.0,0.1,0.008,0.9668223912306769,1.0000990981676174,0.3425528634838798,68.5671560543988,0.0869790302338403,0.01923991333323076,0.09516000000000001,0.019032,0.0098,0.0016190308420448558,True,0.0273,0.040560000000000006,0.027300000000000005,0.0034666666666666665,0.0028666666666666667,0.0034666666666666665
bess_charging,grid_connected,1.0,1.0,1.0,1.0,0.2,-0.008,0.9783582471334781,1.0000391276272966,0.13569469467210743,50.67677668377939,0.07348523870678032,0.013738072849622604,0.076,0.013600000000000001,0.0036,0.0010852393320800887,True,0.023666666666666666,0.028666666666666667,0.02366666666666667,0.0016,0.0004,0.0016
stress_unbalance,grid_connected,1.35,1.0,1.6,0.8,0.8,-0.008,0.9438151241986574,1.0041986531666602,0.853825313425206,105.74880815001397,0.10391592239274228,0.021846460958815844,0.11519,0.021438000000000002,0.0144,0.0031259234156093326,True,0.03101666666666667,0.058826666666666666,0.02534666666666667,0.0064,0.0016,0.0064
