epoch,train_loss,val_loss,model
1,0.7638247609138489,0.7541230916976929,FlattenedMLP
2,0.749077320098877,0.7428059577941895,FlattenedMLP
3,0.7359570264816284,0.7319771647453308,FlattenedMLP
4,0.7217901349067688,0.7183207273483276,FlattenedMLP
5,0.7039647102355957,0.7030557990074158,FlattenedMLP
6,0.6830776929855347,0.687730610370636,FlattenedMLP
7,0.6604467630386353,0.6745367050170898,FlattenedMLP
8,0.6355887651443481,0.6639503240585327,FlattenedMLP
9,0.612848162651062,0.6556416749954224,FlattenedMLP
10,0.5886603593826294,0.6432793736457825,FlattenedMLP
11,0.5643521547317505,0.624860942363739,FlattenedMLP
12,0.5362323522567749,0.5966350436210632,FlattenedMLP
13,0.5070909857749939,0.5621718168258667,FlattenedMLP
14,0.4750075340270996,0.518885612487793,FlattenedMLP
15,0.4508761465549469,0.4688335657119751,FlattenedMLP
16,0.4112079441547394,0.41332727670669556,FlattenedMLP
17,0.36399057507514954,0.354295551776886,FlattenedMLP
18,0.31766238808631897,0.3110542297363281,FlattenedMLP
19,0.30029749870300293,0.2888861894607544,FlattenedMLP
20,0.2720271944999695,0.27187809348106384,FlattenedMLP
21,0.23074468970298767,0.22025123238563538,FlattenedMLP
22,0.17970766127109528,0.17987681925296783,FlattenedMLP
23,0.1596047431230545,0.15001504123210907,FlattenedMLP
24,0.12405335903167725,0.1331777125597,FlattenedMLP
25,0.10210519284009933,0.12362879514694214,FlattenedMLP
26,0.10909473896026611,0.09759406000375748,FlattenedMLP
27,0.08809684216976166,0.07787095010280609,FlattenedMLP
28,0.06852623075246811,0.06700224429368973,FlattenedMLP
29,0.05195897817611694,0.05797026306390762,FlattenedMLP
30,0.047311779111623764,0.04882057011127472,FlattenedMLP
31,0.03691430762410164,0.040534306317567825,FlattenedMLP
32,0.026127256453037262,0.03358983248472214,FlattenedMLP
33,0.023343633860349655,0.024966023862361908,FlattenedMLP
34,0.01898759789764881,0.016206389293074608,FlattenedMLP
35,0.01391480304300785,0.010293322615325451,FlattenedMLP
36,0.012925734743475914,0.008068318478763103,FlattenedMLP
37,0.01108474563807249,0.00779267493635416,FlattenedMLP
38,0.010684751905500889,0.0075878663919866085,FlattenedMLP
39,0.016374267637729645,0.00752346171066165,FlattenedMLP
40,0.006472724489867687,0.007794426754117012,FlattenedMLP
41,0.0057759881019592285,0.00882376916706562,FlattenedMLP
42,0.0028525383677333593,0.010754352435469627,FlattenedMLP
43,0.0051879859529435635,0.013681844808161259,FlattenedMLP
44,0.004475483670830727,0.018203753978013992,FlattenedMLP
45,0.0039133597165346146,0.024429289624094963,FlattenedMLP
1,0.7409693598747253,0.7197712063789368,PhaseAwareGNN
2,0.709387481212616,0.7113946676254272,PhaseAwareGNN
3,0.6914477348327637,0.6995464563369751,PhaseAwareGNN
4,0.6746426820755005,0.6864694356918335,PhaseAwareGNN
5,0.6595962047576904,0.6778630614280701,PhaseAwareGNN
6,0.6436446905136108,0.6653293371200562,PhaseAwareGNN
7,0.625559389591217,0.6507372260093689,PhaseAwareGNN
8,0.6075395941734314,0.6355546712875366,PhaseAwareGNN
9,0.5848255157470703,0.6132213473320007,PhaseAwareGNN
10,0.5605376958847046,0.584590494632721,PhaseAwareGNN
11,0.5331591367721558,0.558680534362793,PhaseAwareGNN
12,0.5030351281166077,0.5262674689292908,PhaseAwareGNN
13,0.4705439507961273,0.503548264503479,PhaseAwareGNN
14,0.43490490317344666,0.47546520829200745,PhaseAwareGNN
15,0.4018305540084839,0.45607030391693115,PhaseAwareGNN
16,0.36226654052734375,0.4196576476097107,PhaseAwareGNN
17,0.3233162462711334,0.3874088525772095,PhaseAwareGNN
18,0.28574705123901367,0.3929486572742462,PhaseAwareGNN
19,0.2529602646827698,0.31410878896713257,PhaseAwareGNN
20,0.22636252641677856,0.2963795065879822,PhaseAwareGNN
21,0.18164604902267456,0.35960835218429565,PhaseAwareGNN
22,0.1661009043455124,0.21051186323165894,PhaseAwareGNN
23,0.13562524318695068,0.1855231672525406,PhaseAwareGNN
24,0.11538099497556686,0.1955280900001526,PhaseAwareGNN
25,0.08757130801677704,0.362453430891037,PhaseAwareGNN
26,0.08499331027269363,0.11574781686067581,PhaseAwareGNN
27,0.056715212762355804,0.13522344827651978,PhaseAwareGNN
28,0.05691942572593689,0.10654152929782867,PhaseAwareGNN
29,0.04235623776912689,0.08022464066743851,PhaseAwareGNN
30,0.030400387942790985,0.23739632964134216,PhaseAwareGNN
31,0.026532677933573723,0.41337254643440247,PhaseAwareGNN
32,0.026288148015737534,0.1271813064813614,PhaseAwareGNN
