node_feature
is_pcc
is_main
is_critical
is_load_bus
is_pv_bus
is_bess_bus
depth_from_pcc
p_load_a
p_load_b
p_load_c
p_pv_a
p_pv_b
p_pv_c
p_bess_dis_a
p_bess_dis_b
p_bess_dis_c
p_bess_ch_a
p_bess_ch_b
p_bess_ch_c
cont_line_endpoint
cont_pv_trip
cont_bess_trip
cont_pcc_outage
base_min_vm_pu
base_max_loading_frac
base_max_vuf_frac
