model,k,scenario_count,mean_violation_recall_at_k,min_violation_recall_at_k,severe_hit_rate_at_k,mean_pf_call_fraction
GradientBoosting,1,7,0.15584415584415584,0.09090909090909091,1.0,0.09090909090909093
GradientBoosting,2,7,0.3116883116883117,0.18181818181818182,1.0,0.18181818181818185
GradientBoosting,3,7,0.4675324675324675,0.2727272727272727,1.0,0.2727272727272727
GradientBoosting,5,7,0.7792207792207791,0.45454545454545453,1.0,0.45454545454545453
GradientBoosting,8,7,0.961038961038961,0.7272727272727273,1.0,0.7272727272727274
GradientBoosting,10,7,0.987012987012987,0.9090909090909091,1.0,0.9090909090909091
