threshold,n,tp,fp,tn,fn,accuracy,precision,recall,fnr,specificity,roc_auc,auprc,brier,calls_saved_fraction,workload_fraction,missed_violations,predicted_unsafe,predicted_safe
0.0,20,12,8,0,0,0.6,0.6,1.0,0.0,0.0,1.0,1.0,0.009463134208859608,0.0,1.0,0,20,0
0.0951590034662648,20,12,8,0,0,0.6,0.6,1.0,0.0,0.0,1.0,1.0,0.009463134208859608,0.0,1.0,0,20,0
0.12037403702656481,20,12,5,3,0,0.75,0.7058823529411765,1.0,0.0,0.375,1.0,1.0,0.009463134208859608,0.15,0.85,0,17,3
0.16762165842187082,20,12,3,5,0,0.85,0.8,1.0,0.0,0.625,1.0,1.0,0.009463134208859608,0.25,0.75,0,15,5
0.18463448001726757,20,12,1,7,0,0.95,0.9230769230769231,1.0,0.0,0.875,1.0,1.0,0.009463134208859608,0.35,0.65,0,13,7
0.8966600394187594,20,12,0,8,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.009463134208859608,0.4,0.6,0,12,8
0.9409438474408646,20,11,0,8,1,0.95,1.0,0.9166666666666666,0.08333333333333337,1.0,1.0,1.0,0.009463134208859608,0.45,0.55,1,11,9
0.9804370634770488,20,2,0,8,10,0.5,1.0,0.16666666666666666,0.8333333333333334,1.0,1.0,1.0,0.009463134208859608,0.9,0.1,10,2,18
1.0,20,0,0,8,12,0.4,0.0,0.0,1.0,1.0,1.0,1.0,0.009463134208859608,1.0,0.0,12,0,20
