model,folds,recall_mean,recall_min,fnr_mean,calls_saved_mean,missed_violations_sum,auprc_mean
EngineeringRule,3,1.0,1.0,0.0,0.32323232323232326,0,0.9117889833278848
AllUnsafe,3,1.0,1.0,0.0,0.0,0,0.5959595959595959
LogisticRegression,3,0.927536231884058,0.782608695652174,0.07246376811594202,0.4393939393939394,5,0.9903666348643859
RandomForest,3,0.8985507246376812,0.6956521739130435,0.10144927536231885,0.47474747474747475,7,0.9896867094403109
