model,folds,recall_mean,recall_min,fnr_mean,calls_saved_mean,missed_violations_sum,auprc_mean,cv_protocol
EngineeringRule,3,1.0,1.0,0.0,0.32323232323232326,0,0.9117889833278848,scenario_group
AllUnsafe,3,1.0,1.0,0.0,0.0,0,0.5959595959595959,scenario_group
LogisticRegression,3,0.927536231884058,0.782608695652174,0.07246376811594202,0.4393939393939394,5,0.9902595455518993,scenario_group
RandomForest,3,0.8985507246376812,0.6956521739130435,0.10144927536231885,0.47474747474747475,7,0.9896867094403109,scenario_group
EngineeringRule,3,1.0,1.0,0.0,0.30952380952380953,0,0.9708347497409998,contingency_group
AllUnsafe,3,1.0,1.0,0.0,0.0,0,0.6190476190476191,contingency_group
RandomForest,3,0.39999999999999997,0.2,0.6,0.6904761904761904,28,0.8608344769480606,contingency_group
LogisticRegression,3,0.25416666666666665,0.2,0.7458333333333332,0.7857142857142857,35,0.9094067519812489,contingency_group
