model,selected_threshold,val_n,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_fnr,val_specificity,val_roc_auc,val_auprc,val_brier,val_calls_saved_fraction,val_workload_fraction,val_missed_violations,val_predicted_unsafe,val_predicted_safe,test_n,test_tp,test_fp,test_tn,test_fn,test_accuracy,test_precision,test_recall,test_fnr,test_specificity,test_roc_auc,test_auprc,test_brier,test_calls_saved_fraction,test_workload_fraction,test_missed_violations,test_predicted_unsafe,test_predicted_safe
GradientBoosting,0.30091889969483726,18,11,0,7,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.034290034566422906,0.3888888888888889,0.6111111111111112,0,11,7,20,12,0,8,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.009463134208859608,0.4,0.6,0,12,8
EngineeringRule,0.65,18,11,1,6,0,0.9444444444444444,0.9166666666666666,1.0,0.0,0.8571428571428571,0.987012987012987,0.9848484848484849,0.069555809495338,0.3333333333333333,0.6666666666666666,0,12,6,20,12,2,6,0,0.9,0.8571428571428571,1.0,0.0,0.75,0.90625,0.91005291005291,0.11450190455086043,0.3,0.7,0,14,6
AllUnsafe,0.0,18,11,7,0,0,0.6111111111111112,0.6111111111111112,1.0,0.0,0.0,0.5,0.6111111111111112,0.3888888888888889,0.0,1.0,0,18,0,20,12,8,0,0,0.6,0.6,1.0,0.0,0.0,0.5,0.6,0.4,0.0,1.0,0,20,0
MLP,0.0,18,11,7,0,0,0.6111111111111112,0.6111111111111112,1.0,0.0,0.0,0.35064935064935066,0.5520678741935426,0.3959851017583984,0.0,1.0,0,18,0,20,12,8,0,0,0.6,0.6,1.0,0.0,0.0,0.23958333333333331,0.5333957648102385,0.40435492943584184,0.0,1.0,0,20,0
LogisticRegression,0.7347496979046053,18,11,0,7,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.03216918329652611,0.3888888888888889,0.6111111111111112,0,11,7,20,10,0,8,2,0.9,1.0,0.8333333333333334,0.16666666666666663,1.0,1.0,1.0,0.053521396883735695,0.5,0.5,2,10,10
RandomForest,0.677342074485894,18,11,0,7,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.07459533035409913,0.3888888888888889,0.6111111111111112,0,11,7,20,10,1,7,2,0.85,0.9090909090909091,0.8333333333333334,0.16666666666666663,0.875,0.9375,0.9559824434824434,0.10638907476869015,0.45,0.55,2,11,9
