model,folds,recall_mean,recall_min,fnr_mean,calls_saved_mean,missed_violations_sum,auprc_mean
EngineeringRule,3,1.0,1.0,0.0,0.30952380952380953,0,0.9708347497409998
AllUnsafe,3,1.0,1.0,0.0,0.0,0,0.6190476190476191
RandomForest,3,0.39999999999999997,0.2,0.6,0.6904761904761904,28,0.8608344769480606
LogisticRegression,3,0.25416666666666665,0.2,0.7458333333333332,0.7857142857142857,35,0.9094067519812489
