epoch,model_kind,train_loss,val_loss,model
1,baseline,0.5280017608251327,0.5344647169113159,BaselineMLP
2,baseline,0.501324380055452,0.5318013429641724,BaselineMLP
3,baseline,0.4671215873498183,0.5291689038276672,BaselineMLP
4,baseline,0.443643542436453,0.5101460814476013,BaselineMLP
5,baseline,0.41333557397891313,0.4927128255367279,BaselineMLP
6,baseline,0.38473381369541854,0.468061238527298,BaselineMLP
7,baseline,0.3624250965240674,0.4476673901081085,BaselineMLP
8,baseline,0.348614826416358,0.4241866171360016,BaselineMLP
9,baseline,0.29866798642354137,0.39216870069503784,BaselineMLP
10,baseline,0.2774049578568874,0.36473551392555237,BaselineMLP
11,baseline,0.23503494071654785,0.3586815595626831,BaselineMLP
12,baseline,0.2179436878516124,0.3707088232040405,BaselineMLP
13,baseline,0.21677626172701517,0.3540864884853363,BaselineMLP
14,baseline,0.16843061913282442,0.30782195925712585,BaselineMLP
15,baseline,0.13711766268198305,0.2540590465068817,BaselineMLP
16,baseline,0.12371035092152081,0.1977737545967102,BaselineMLP
17,baseline,0.09326924842137557,0.1449979692697525,BaselineMLP
18,baseline,0.07628794358326839,0.12108642607927322,BaselineMLP
19,baseline,0.07246891351846549,0.10172244161367416,BaselineMLP
20,baseline,0.04383852356710495,0.08312252163887024,BaselineMLP
21,baseline,0.037700739378730454,0.08850142359733582,BaselineMLP
22,baseline,0.03383105496565501,0.05705463886260986,BaselineMLP
23,baseline,0.017989047277623262,0.039005573838949203,BaselineMLP
24,baseline,0.02154251168935727,0.041271407157182693,BaselineMLP
25,baseline,0.027860029958761655,0.04040880128741264,BaselineMLP
26,baseline,0.0206208132708875,0.05994104593992233,BaselineMLP
27,baseline,0.00781442953321414,0.08885335177183151,BaselineMLP
28,baseline,0.015252522479456205,0.0939810499548912,BaselineMLP
29,baseline,0.020605317251279186,0.05664072930812836,BaselineMLP
30,baseline,0.030646063912755404,0.01862296648323536,BaselineMLP
31,baseline,0.0022793695993291643,0.00844128243625164,BaselineMLP
32,baseline,0.004623621523093719,0.007071306928992271,BaselineMLP
33,baseline,0.005939271742812334,0.008096735924482346,BaselineMLP
34,baseline,0.006980889100724688,0.007802469190210104,BaselineMLP
35,baseline,0.0034631846520381095,0.005826857872307301,BaselineMLP
36,baseline,0.0024046408436380518,0.00455356203019619,BaselineMLP
37,baseline,0.0010205585052832388,0.004510592203587294,BaselineMLP
38,baseline,0.002794245556474496,0.004907021299004555,BaselineMLP
39,baseline,0.0013627006540982388,0.005624711979180574,BaselineMLP
40,baseline,0.0021009801122813653,0.0053665353916585445,BaselineMLP
41,baseline,0.0027533440540234246,0.0035612608771771193,BaselineMLP
42,baseline,0.000753224637801162,0.0027083237655460835,BaselineMLP
43,baseline,0.0012652098129575069,0.0025473246350884438,BaselineMLP
44,baseline,0.001590647854195245,0.002492492785677314,BaselineMLP
45,baseline,0.00457372423261404,0.002093331888318062,BaselineMLP
46,baseline,0.001100215417234442,0.001722370507195592,BaselineMLP
47,baseline,0.001390923166838594,0.0016162405954673886,BaselineMLP
48,baseline,0.0006361120687917066,0.0017221011221408844,BaselineMLP
49,baseline,0.0011787105908390516,0.002020130632445216,BaselineMLP
50,baseline,0.00047909761055145797,0.0024218487087637186,BaselineMLP
51,baseline,0.0004363532830328227,0.0029095152858644724,BaselineMLP
52,baseline,0.0004299477444967637,0.0034500951878726482,BaselineMLP
53,baseline,0.00045912983254171337,0.0038490938022732735,BaselineMLP
54,baseline,0.0006455634601223163,0.0038471845909953117,BaselineMLP
55,baseline,0.00044409852200307144,0.0035120686516165733,BaselineMLP
56,baseline,0.0023198473723963476,0.0031862494070082903,BaselineMLP
57,baseline,0.0008125655675450197,0.0027052999939769506,BaselineMLP
58,baseline,0.0005499672660311589,0.0022666906006634235,BaselineMLP
59,baseline,0.0003319276158715813,0.002012485871091485,BaselineMLP
60,baseline,0.0006238218599882645,0.0019438064191490412,BaselineMLP
61,baseline,0.0008935089408157346,0.0019293025834485888,BaselineMLP
62,baseline,0.00279185897222935,0.0022232867777347565,BaselineMLP
63,baseline,0.0005066935139042564,0.00248202052898705,BaselineMLP
64,baseline,0.0005641414019732904,0.0027615735307335854,BaselineMLP
65,baseline,0.00071766810455861,0.002980488119646907,BaselineMLP
66,baseline,0.00038698850076821726,0.0031257388181984425,BaselineMLP
67,baseline,0.0004427193474932723,0.003205475863069296,BaselineMLP
68,baseline,0.00027160983023723255,0.0032689496874809265,BaselineMLP
69,baseline,0.0002967983615608552,0.003313373541459441,BaselineMLP
70,baseline,0.00036232996185740025,0.003299639793112874,BaselineMLP
71,baseline,0.0003224803650272616,0.0032203129958361387,BaselineMLP
72,baseline,0.0005864703763598719,0.0031097461469471455,BaselineMLP
73,baseline,0.00024603871861472726,0.0029996023513376713,BaselineMLP
74,baseline,0.0008779351527874286,0.0028485434595495462,BaselineMLP
75,baseline,0.0004934161485065348,0.0027195848524570465,BaselineMLP
76,baseline,0.0013603053133313854,0.0022869447711855173,BaselineMLP
77,baseline,0.0004220818503735921,0.0019808856304734945,BaselineMLP
