,count,mean,std,min,25%,50%,75%,max
target_vlow_margin,77.0,0.0022472454816541455,0.008583727034433272,0.0,0.0,0.0,0.0,0.03494310751691236
target_vhigh_margin,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_loading_margin,77.0,0.029192487691327106,0.11150489969179313,0.0,0.0,0.0,0.0,0.45281227721989437
target_vuf_margin,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_service_margin,77.0,0.5454545454545454,0.5011947448335865,0.0,0.0,1.0,1.0,1.0
target_pi_severity,77.0,0.5746470331458725,0.4810032575477647,0.0,0.0,1.0,1.0,1.0
